Sample.ID,Treatment,Age,Family,Stage,ASV1,ASV3,ASV6,ASV7,ASV8,ASV9,ASV10,ASV11,ASV13,ASV14,ASV15,ASV16,ASV17,ASV18,ASV19,ASV21,ASV22,ASV23,ASV26,ASV27,ASV28,ASV29,ASV30,ASV31,ASV32,ASV33,ASV34,ASV35,ASV36,ASV38,ASV39,ASV40,ASV41,ASV42,ASV43,ASV44,ASV45,ASV46,ASV47,ASV48,ASV49,ASV51,ASV52,ASV53,ASV54,ASV55,ASV57,ASV59,ASV61,ASV62,ASV63,ASV64,ASV66,ASV67,ASV68,ASV69,ASV71,ASV73,ASV74,ASV75,ASV77,ASV78,ASV79,ASV82,ASV83,ASV84,ASV85,ASV86,ASV87,ASV88,ASV89,ASV91,ASV92,ASV93,ASV94,ASV95,ASV96,ASV97,ASV98,ASV99,ASV100,ASV103,ASV104,ASV105,ASV106,ASV107,ASV109,ASV110,ASV111,ASV112,ASV114,ASV115,ASV116,ASV117,ASV118,ASV119,ASV120,ASV123,ASV125,ASV126,ASV128,ASV129,ASV130,ASV131,ASV133,ASV134,ASV135,ASV136,ASV137,ASV138,ASV139,ASV140,ASV143,ASV145,ASV146,ASV147,ASV148,ASV149,ASV151,ASV152,ASV153,ASV155,ASV156,ASV157,ASV159,ASV160,ASV161,ASV162,ASV164,ASV166,ASV169,ASV171,ASV172,ASV174,ASV175,ASV176,ASV177,ASV178,ASV179,ASV180,ASV181,ASV182,ASV183,ASV184,ASV185,ASV186,ASV188,ASV189,ASV190,ASV191,ASV192,ASV193,ASV194,ASV195,ASV196,ASV198,ASV200,ASV201,ASV202,ASV203,ASV204,ASV206,ASV207,ASV208,ASV209,ASV211,ASV214,ASV217,ASV218,ASV219,ASV220,ASV221,ASV222,ASV223,ASV224,ASV225,ASV226,ASV228,ASV231,ASV232,ASV233,ASV234,ASV235,ASV236,ASV237,ASV239,ASV240,ASV241,ASV242,ASV243,ASV244,ASV245,ASV246,ASV248,ASV249,ASV250,ASV253,ASV254,ASV255,ASV256,ASV257,ASV258,ASV261,ASV262,ASV263,ASV264,ASV267,ASV268,ASV269,ASV270,ASV271,ASV272,ASV274,ASV275,ASV276,ASV277,ASV278,ASV279,ASV281,ASV282,ASV284,ASV286,ASV287,ASV288,ASV289,ASV290,ASV291,ASV292,ASV293,ASV294,ASV295,ASV297,ASV298,ASV299,ASV300,ASV301,ASV302,ASV303,ASV304,ASV305,ASV306,ASV307,ASV309,ASV310,ASV311,ASV312,ASV313,ASV314,ASV315,ASV316,ASV317,ASV318,ASV319,ASV320,ASV322,ASV323,ASV324,ASV325,ASV326,ASV327,ASV328,ASV329,ASV330,ASV332,ASV333,ASV334,ASV335,ASV336,ASV337,ASV338,ASV340,ASV341,ASV342,ASV343,ASV344,ASV345,ASV346,ASV347,ASV348,ASV350,ASV351,ASV353,ASV354,ASV355,ASV356,ASV357,ASV360,ASV362,ASV364,ASV365,ASV367,ASV368,ASV369,ASV371,ASV372,ASV373,ASV374,ASV375,ASV376,ASV377,ASV378,ASV379,ASV380,ASV381,ASV382,ASV383,ASV385,ASV386,ASV387,ASV389,ASV390,ASV393,ASV397,ASV398,ASV399,ASV400,ASV401,ASV402,ASV403,ASV404,ASV405,ASV406,ASV407,ASV408,ASV409,ASV410,ASV411,ASV412,ASV414,ASV417,ASV418,ASV420,ASV421,ASV422,ASV424,ASV426,ASV427,ASV428,ASV431,ASV432,ASV433,ASV435,ASV436,ASV437,ASV440,ASV441,ASV442,ASV443,ASV444,ASV445,ASV447,ASV450,ASV451,ASV453,ASV454,ASV455,ASV456,ASV457,ASV459,ASV461,ASV462,ASV464,ASV466,ASV467,ASV468,ASV471,ASV472,ASV474,ASV475,ASV477,ASV478,ASV479,ASV480,ASV481,ASV482,ASV483,ASV484,ASV485,ASV486,ASV487,ASV490,ASV492,ASV493
T13-6,Control,Day 06,3,Larvae,524,239,0,30,30,24,94,18,121,0,73,0,46,0,0,38,0,0,66,143,0,0,8,0,0,0,0,30,731,114,10,58,15,0,0,0,95,46,28,0,0,15,0,41,0,62,0,0,47,0,0,0,35,0,11,40,0,69,16,0,27,80,0,31,0,38,16,0,20,0,23,0,0,0,354,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,24,5,0,3,0,56,0,66,0,0,19,0,37,68,0,1,0,10,42,0,0,0,0,37,0,0,0,55,20,0,0,0,0,0,19,0,0,0,0,0,0,0,0,4,0,0,39,0,0,0,0,8,0,0,0,0,5,12,0,0,0,0,0,29,0,0,0,0,0,0,8,0,0,0,0,0,0,14,0,25,9,0,0,27,31,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,8,0,0,40,0,0,11,0,0,27,0,18,0,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0,0,22,0,0,0,10,0,0,0,0,9,0,0,0,0,0,0,0,0,18,9,0,5,0,15,0,0,0,0,0,0,0,43,0,0,12,0,0,0,0,0,0,19,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,23,0,0,0,0,0,0,0
T13-S-1,Control,Spat,3,Spat,118,58,340,19,36,28,75,104,15,152,17,290,25,0,0,21,210,155,0,0,16,205,0,66,52,0,104,36,0,22,0,0,0,145,0,0,18,0,27,37,102,0,55,3,49,0,121,26,0,0,28,33,0,0,26,11,51,0,0,0,0,0,0,32,55,0,0,30,0,23,0,17,0,12,0,19,0,23,0,37,0,0,28,17,20,6,28,14,26,0,0,0,0,11,34,0,0,0,56,0,0,30,0,0,0,0,27,0,0,30,0,0,18,0,0,0,10,0,0,0,28,21,0,36,0,0,0,12,0,16,11,8,39,4,0,17,0,0,0,0,0,0,45,0,0,0,0,0,0,38,0,30,19,0,8,25,9,0,4,0,0,0,2,6,0,0,0,8,0,0,0,16,14,0,0,0,29,20,0,46,8,28,0,0,9,0,20,0,10,23,0,0,0,0,8,0,0,14,9,0,16,0,0,0,0,0,18,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,11,10,0,22,0,0,0,0,0,0,21,7,0,25,0,0,0,18,0,12,14,0,0,0,4,0,0,0,0,0,0,0,0,0,9,10,0,0,0,33,0,15,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,19,0,11,3,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,7,21,0,16,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,15,17,0,0,0,7,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,18,6,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,12,0,0
T14-1,Probiotics,Day 01,3,Larvae,34,24,0,409,62,16,51,18,24,0,47,0,54,172,139,6,0,0,6,30,43,0,243,10,0,17,43,0,0,6,9,0,197,0,0,59,0,51,502,0,0,72,0,0,0,5,0,0,13,0,0,0,0,22,0,0,0,7,0,0,0,11,9,0,18,20,12,0,31,0,8,179,0,11,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,109,33,17,0,0,0,13,0,0,0,38,11,0,0,45,0,0,103,0,1,0,40,0,0,16,265,0,0,0,0,0,0,0,0,0,2,0,0,0,31,0,0,0,20,0,0,0,0,0,18,0,26,0,0,19,0,0,11,0,0,0,31,0,0,17,0,0,0,0,0,0,10,0,0,0,0,0,21,80,0,0,0,0,0,0,0,10,0,0,0,0,17,0,0,0,0,16,0,0,0,8,4,7,9,0,0,39,0,0,0,0,57,0,0,0,0,0,0,0,0,0,9,0,0,6,38,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,74,0,0,0,0,0,13,17,26,0,0,0,0,9,20,0,0,0,0,0,0,54,0,72,0,11,17,0,0,2,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,70,0,0,0,0,30,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,45,0,0,0,0,0,0,0,0,0,18,0,17,0,0,0,0,0,0,0,0,0,29,42,0,2,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0
T14-15,Probiotics,Day 15,3,Larvae,1018,484,0,34,20,51,133,45,51,0,43,0,62,31,0,249,0,0,11,22,0,0,0,27,0,0,0,105,0,65,0,14,15,0,0,0,11,0,10,0,0,0,0,64,0,35,0,0,63,0,0,0,0,0,43,90,0,0,127,0,0,0,0,31,0,42,0,0,23,0,26,0,10,14,0,0,84,20,14,0,0,0,0,10,0,0,0,0,0,0,23,15,16,32,0,0,49,41,0,0,21,0,1,0,40,0,0,18,10,0,0,0,0,0,0,0,0,0,45,58,0,0,65,0,9,0,0,0,0,0,0,0,0,0,18,0,0,25,0,50,0,14,0,32,37,0,29,17,0,0,0,0,0,0,2,0,0,0,0,0,41,0,87,0,0,0,0,0,44,0,0,0,0,33,3,0,0,0,0,0,11,0,0,0,8,17,0,0,0,7,18,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,13,0,0,38,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,23,0,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,29,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,0,0,0,0,0,9,0,0,1,18,12,0,0,0,0,0,0,17,0,13,38,0,0,0,0,0,0,0,0,0,0,35,0,0,0,5,0,0,0,20,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,40,0,0,0,0,33,0,0,0,0,0,0,0,0,0,2,16,0,0,0
T14-2-2,Probiotics,Spat,3,Spat,107,56,255,0,14,0,61,171,6,102,0,109,0,0,0,26,145,164,0,0,0,320,0,84,66,0,53,0,7,18,0,0,0,70,19,0,0,0,0,11,73,0,105,0,63,0,183,36,0,0,94,74,0,0,5,52,0,0,0,0,0,0,55,26,0,0,0,148,0,41,0,0,0,0,0,76,0,57,0,22,0,0,0,11,41,0,29,34,61,0,0,0,0,0,44,0,0,0,35,0,0,27,0,0,0,0,0,0,0,28,0,0,28,0,0,0,22,0,0,0,51,32,0,0,0,0,0,7,0,0,15,20,0,7,40,30,0,0,0,0,0,0,38,0,0,0,0,0,0,21,0,20,0,0,39,28,12,0,13,0,0,0,0,0,0,0,0,0,38,0,0,29,0,0,0,0,16,36,0,37,0,44,0,0,0,0,0,0,22,0,0,0,0,15,0,0,0,0,0,0,0,0,16,29,0,0,8,17,8,17,0,0,0,0,0,0,0,0,11,0,0,7,0,0,29,8,29,0,0,0,0,0,0,0,0,0,0,13,0,12,0,0,23,0,0,0,0,19,21,0,16,0,0,0,0,0,0,0,0,0,11,44,0,0,0,10,0,18,0,0,0,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,0,7,12,14,0,14,0,0,0,0,0,0,0,0,0,12,0,0,12,35,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,28,0,0,0,27,0,24,0,0,0,0,0,0,0,5,0,0,0,15,0,0,16,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0
T14-3,Probiotics,Day 03,3,Larvae,419,227,0,92,29,52,79,14,419,0,129,0,72,46,6,83,0,0,0,114,0,0,59,0,0,0,37,0,0,0,47,236,23,0,0,63,90,82,51,0,0,0,0,42,0,71,0,0,10,0,0,0,25,0,0,0,49,52,0,0,0,50,0,60,0,63,63,0,30,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22,0,0,0,71,0,0,0,0,23,0,25,26,58,31,7,5,30,0,0,0,0,56,0,65,0,61,12,10,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,83,0,0,25,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,55,18,0,30,37,11,0,0,5,55,0,0,0,0,0,24,0,17,0,0,0,0,30,0,0,9,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,41,0,0,0,0,9,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,21,0,0,0,42,0,0,27,0,0,0,11,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,86,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,14,64,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T14-6,Probiotics,Day 06,3,Larvae,446,243,0,22,48,15,75,32,145,0,126,0,80,0,0,82,0,0,46,280,0,0,0,0,0,0,0,14,46,122,25,43,36,0,0,0,189,86,0,0,0,0,0,37,0,72,0,0,30,0,0,0,0,0,0,38,0,122,0,0,0,138,0,0,0,31,65,0,0,0,34,19,0,12,25,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,9,26,34,8,0,68,0,87,0,0,37,0,28,66,33,11,0,0,34,0,0,0,0,64,20,63,0,94,13,31,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,20,0,0,35,0,46,58,0,0,0,0,0,65,0,0,0,0,0,0,62,0,0,0,0,0,0,0,3,23,24,0,0,27,19,7,0,0,0,0,0,0,0,0,0,0,0,15,0,0,24,0,11,0,0,0,0,0,0,26,0,0,21,0,0,64,0,0,0,0,0,11,0,14,0,0,0,0,0,0,0,46,19,0,0,0,0,0,0,0,0,12,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,32,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,41,0,5,0,18,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,0,0,0,0,0,0,0,0,0,0,18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,26,0,0,0,0,0,0,0
T14-S-1,Probiotics,Spat,3,Spat,89,45,220,0,27,0,29,158,9,132,0,409,0,0,0,17,168,149,0,0,12,370,0,108,60,0,76,12,0,8,0,0,9,211,0,2,0,0,0,21,72,0,52,4,45,0,167,41,0,0,31,49,0,0,23,23,22,0,8,61,0,0,28,28,35,3,0,20,0,30,0,0,0,0,0,23,0,29,3,11,12,0,23,0,14,0,15,22,38,0,0,0,2,13,19,0,0,0,30,0,9,22,0,0,0,0,0,0,0,17,0,0,13,0,0,0,24,2,0,0,40,7,0,13,0,0,34,9,0,19,22,16,0,0,11,14,4,11,0,0,0,0,44,0,0,6,0,0,0,19,0,29,8,0,25,18,16,37,15,0,0,0,0,18,0,0,0,0,8,0,0,9,14,0,0,0,21,28,0,27,0,11,0,0,0,0,18,0,8,3,0,0,0,14,10,0,2,0,2,0,3,0,0,7,0,0,8,0,0,14,0,0,0,0,0,6,0,15,11,0,6,0,0,10,2,5,10,6,0,6,0,0,0,0,0,0,0,6,0,11,0,13,20,7,0,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,16,0,14,0,6,0,7,0,9,0,0,0,13,0,10,0,0,0,27,0,0,9,0,4,5,10,0,7,0,0,4,0,0,25,0,3,0,0,8,0,5,30,0,21,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,31,10,9,0,12,0,7,0,3,5,0,0,0,0,9,0,0,0,0,15,0,0,6,0,6,6,0,0,0,0,9,6,0,0,0,0,3,0,0,16,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0
T15-15,Probiotics + HT,Day 15,3,Larvae,1074,525,0,24,57,22,129,26,47,0,35,0,49,0,0,141,0,0,18,42,0,0,0,28,0,32,0,92,0,24,28,0,27,0,0,19,40,49,18,0,0,0,0,35,0,55,0,0,39,0,0,0,0,0,52,31,0,11,80,0,0,0,0,47,0,23,24,0,55,0,22,0,24,0,0,0,48,34,17,0,0,0,0,12,0,0,0,0,0,0,33,34,34,14,0,0,270,0,0,0,43,0,14,0,51,0,0,24,0,0,0,0,0,10,0,26,0,0,18,41,0,8,35,0,7,0,0,0,0,0,0,0,0,25,0,0,0,0,0,13,0,11,0,0,0,0,11,48,21,0,0,0,0,0,0,0,0,0,7,12,14,0,32,0,0,0,13,0,10,0,28,0,0,25,22,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,25,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,56,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,13,0,0,0,0,0,9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,25,0,4,0,12,0,0,0,0,0,0,0,0,0,16,102,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,0,24,0,0,0,0,0,7,0
T15-2,Probiotics + HT,Day 01,3,Larvae,34,22,0,556,42,44,45,18,18,0,292,0,76,284,235,0,0,0,31,39,341,0,151,0,0,21,0,7,0,0,0,0,66,0,0,79,25,46,0,0,0,80,0,19,0,22,0,0,0,0,0,0,0,165,7,0,0,12,0,0,0,20,0,0,0,14,15,0,0,0,0,195,0,48,0,0,0,0,0,0,0,104,0,27,0,0,0,0,0,28,12,23,0,0,0,0,0,0,0,29,21,0,2,0,0,0,43,0,9,0,39,0,0,7,26,0,0,0,0,0,0,0,11,0,7,7,0,0,17,0,0,0,0,0,0,0,0,0,45,53,162,6,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,59,0,46,0,40,0,9,21,0,0,0,0,5,40,4,0,0,65,0,0,0,7,0,0,0,0,0,0,0,0,0,0,35,8,0,0,93,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,36,12,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,8,0,2,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,4,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
T15-3,Probiotics + HT,Day 03,3,Larvae,319,131,0,112,23,44,99,0,446,0,121,0,53,79,0,106,0,0,0,106,23,0,0,0,0,0,83,0,0,0,137,196,16,0,0,52,113,78,30,0,0,0,0,12,0,70,0,0,17,0,0,0,5,0,24,0,25,80,47,0,0,67,0,0,24,71,50,0,0,0,43,41,0,8,0,0,0,12,14,0,0,0,0,0,0,62,0,0,0,0,21,40,5,0,0,54,0,15,0,0,19,0,44,50,74,42,0,0,47,0,38,0,0,10,25,32,0,81,0,0,0,0,0,0,46,14,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,36,0,0,0,32,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,50,10,0,0,14,3,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,8,0,0,16,0,0,0,0,0,37,0,0,24,0,0,9,0,38,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,13,0,0,0,0,0,0,3,28,0,0,0,0,50,0,0,0,0,21,33,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,24,0,4,0,30,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,14,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,17,0,11,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0
T15-6,Probiotics + HT,Day 06,3,Larvae,1319,619,0,88,108,82,224,0,88,0,128,0,145,0,0,62,0,0,102,33,0,0,0,0,0,0,0,63,52,177,36,30,35,0,0,17,24,35,43,0,0,0,0,54,0,0,0,0,77,0,0,0,55,0,0,68,0,39,34,0,22,0,0,33,0,22,15,0,0,0,30,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,20,0,37,0,0,0,0,53,0,0,0,0,9,0,0,33,0,0,8,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,19,0,0,0,0,0,0,120,0,0,0,19,0,0,15,0,0,0,0,0,0,0,0,31,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
T15-S-2,Probiotics + HT,Spat,3,Spat,129,66,475,14,21,22,68,181,10,227,10,19,0,0,15,24,164,95,0,0,0,37,0,93,11,7,82,15,0,3,11,0,48,11,155,5,0,0,0,31,81,0,86,10,35,0,20,179,0,0,32,37,0,0,113,0,56,0,0,0,0,0,65,40,44,0,0,8,4,46,8,0,0,0,0,26,0,20,15,32,53,0,38,10,59,0,43,33,11,36,0,0,0,7,17,5,0,0,23,0,0,39,0,3,0,0,0,0,0,20,0,0,32,0,0,0,22,0,0,0,0,11,0,28,3,0,0,15,7,40,38,13,40,45,16,18,0,27,0,0,0,0,13,0,0,0,0,0,0,9,0,5,16,0,9,23,23,18,0,0,0,0,0,27,15,5,0,0,19,0,0,9,14,0,0,0,14,0,0,26,0,3,5,28,0,0,0,71,18,18,0,0,0,23,3,0,0,21,7,0,0,0,0,6,0,0,6,4,10,20,0,0,0,0,0,0,0,20,0,5,16,0,0,12,0,18,9,7,0,0,0,0,0,0,0,0,0,0,19,18,0,0,0,19,3,0,0,10,11,0,7,2,0,0,0,0,12,0,0,0,18,12,1,0,0,0,0,7,0,4,0,0,0,0,0,0,0,4,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,3,25,0,6,4,0,9,0,0,0,0,0,8,0,0,0,0,0,0,5,0,5,0,0,0,4,0,0,4,0,0,0,7,1,0,0,0,0,2,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
T17-15,High temperature,Day 15,3,Larvae,1456,705,0,8,54,301,80,26,12,0,27,0,35,0,0,183,0,0,84,4,0,0,0,24,0,27,0,131,0,39,10,0,7,0,0,60,0,26,4,0,0,0,0,138,0,0,0,0,27,0,0,0,46,0,28,28,0,0,92,0,0,0,0,0,0,22,0,0,17,0,35,0,0,0,0,0,125,27,6,0,0,0,0,5,0,0,0,0,0,0,19,0,19,15,0,0,31,11,0,0,0,0,0,12,0,0,0,42,0,3,27,0,0,0,0,0,0,0,15,32,0,0,25,0,0,0,0,0,0,0,5,2,0,14,0,0,0,0,0,17,0,10,0,36,57,0,2,0,0,0,0,0,0,0,7,0,0,0,0,31,18,0,9,0,0,7,0,0,17,7,2,0,0,0,0,18,0,0,0,0,0,0,0,0,5,0,0,22,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,14,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T17-2,High temperature,Day 01,3,Larvae,196,94,0,153,68,203,108,49,8,0,110,0,409,81,254,21,0,0,34,23,250,0,286,13,0,43,31,15,0,0,59,0,12,0,0,107,0,17,41,0,0,114,0,27,0,0,0,0,9,0,0,0,0,127,0,0,0,0,0,0,13,0,0,0,15,0,4,0,0,30,36,35,0,79,0,0,0,0,14,0,0,107,0,64,0,28,0,0,0,0,2,25,0,0,0,6,0,0,15,107,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,44,0,0,23,0,0,76,1,0,0,0,0,0,0,0,0,64,36,0,0,0,45,0,0,0,0,0,0,31,0,0,5,0,0,0,0,0,29,0,0,0,0,0,0,5,0,0,0,5,0,0,0,3,0,0,0,57,0,6,0,32,0,5,0,0,0,0,0,0,63,0,0,0,26,0,0,8,0,3,0,0,0,0,0,0,0,0,0,42,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,26,23,35,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,17,32,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,28,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,3,0,0,31,0,0,0,0,0,0,19,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
