"","ASV4","ASV6","ASV7","ASV9","ASV11","ASV13","ASV16","ASV23","ASV25","ASV26","ASV29","ASV32","ASV35","ASV36","ASV45","ASV50","ASV53","ASV55","ASV57","ASV58","ASV59","ASV60","ASV63","ASV67","ASV70","ASV75","ASV79","ASV80","ASV84","ASV87","ASV94","ASV96","ASV97","ASV98","ASV101","ASV102","ASV104","ASV111","ASV113","ASV118","ASV122","ASV125","ASV128","ASV129","ASV131","ASV134","ASV136","ASV138","ASV141","ASV142","ASV147","ASV154","ASV157","ASV158","ASV161","ASV163","ASV164","ASV166","ASV171","ASV176","ASV186","ASV188","ASV190","ASV191","ASV201","ASV211","ASV229","ASV230","ASV231","ASV234","ASV236","ASV237","ASV238","ASV241","ASV245","ASV252","ASV255","ASV261","ASV265","ASV272","ASV273","ASV275","ASV276","ASV283","ASV288","ASV291","ASV310","ASV312","ASV315","ASV318","ASV319","ASV324","ASV325","ASV336","ASV354","ASV366","ASV367","ASV383","ASV384","ASV391","ASV402","ASV409","ASV419","ASV423","ASV425","ASV432","ASV440","ASV466","ASV490","ASV507","ASV547","ASV585","ASV588","ASV612","ASV634","ASV644","ASV658","ASV670","ASV685","ASV716","ASV752","ASV766","ASV846","ASV946","ASV956","ASV959","ASV997","ASV1182","ASV1194","ASV1203","ASV1209","ASV1213","ASV1223","ASV1229","ASV1237","ASV1446","ASV1523","ASV1550","ASV1775"
"205",7.11568523077324,6.07821329681571,6.60256054876055,0,0,0,5.1152981439294,0,0,0,5.68276979210025,0,5.54878144435977,0,3.71686176827212,4.12528172394525,0,5.02846130456182,5.22675779119182,0,0,4.98300079101635,3.37360893065603,0,8.28918798623418,5.81836501403182,6.43120275972754,1.82007878591899,6.82497927234189,0,8.46791186954465,5.40106307831402,0,0,0,7.92159020624215,5.9947815258719,5.28410958200365,6.63965454051847,0,6.37511861763823,6.30295777764691,5.91835314867492,8.04976036035614,4.77201495123233,0,5.73169100322819,0,0,5.66128483986817,5.54095986261384,4.44322467346009,5.18721615452117,5.46031931612717,5.24612948680771,7.09179245638038,5.71092756323563,5.74536911660675,5.38367586759216,6.44802978628433,5.71092756323563,4.61696602764238,6.01750598640583,0,0,5.33926835554718,0,5.52518832369108,5.10472510673601,6.4892582217773,5.41824323311902,0,4.92408352851047,5.47681205698373,4.64642453581173,0,5.26524451282605,0,5.25571865771553,5.08334369499894,0,5.26524451282605,0,0,0,0,4.18672498675369,5.63947508557677,0,0,0,0,7.46476409832039,0,0,0,0,5.19720362987718,0,5.29345040906662,0,4.45991286824562,0,0,5.0059101026774,5.31195256441768,6.98918487993133,0,0,0,0,0,3.14504398241003,0,0,0,0,0,0,0,4.64642453581173,0,4.68951426975005,0,3.01557133381178,0,0,0,5.46031931612717,0,0,0,3.26384814939127,0,4.58689344312711,0,5.09407401081371,4.61696602764238,0
"206",8.09253920292467,5.56656410862968,7.60900733448688,4.88037247874924,2.35718919937516,0,5.65186541484874,5.85052519020852,5.03353653252637,0,5.81397948618551,4.21146185132281,6.36893391670917,4.12885800735554,3.76312678806939,4.25884525774829,0,5.35755200461808,5.98809901102796,3.80629216323173,5.25222648600012,5.83497596434327,5.10442312899519,3.33230190978126,7.6817998950562,6.56703478289003,6.72440836596742,2.35718919937516,7.25310424538957,5.95491579924273,7.76620442922989,8.08708002571062,0,4.79722696404848,5.35027850778557,7.1913518130269,5.02442570312586,5.06052880802205,6.82753095960607,3.03852307180334,7.01629136766717,6.83796924365802,5.90117792808738,7.45647085495889,5.09575045460089,5.24440061901617,6.70172624340524,6.07450013964994,0,0,5.91109851069511,4.47489761897333,5.44208846409201,4.83939861963172,7.66430981825082,7.25699894989674,5.29073144143196,7.30669594952541,4.80788600803485,6.30265069978442,6.56074646503026,5.05158737846561,6.01134254651221,4.54027786100471,5.40746489113414,6.24498903383266,4.63908891557845,5.49581382645192,4.75378536686091,6.78500578333669,3.92854126857766,0,5.69269638057717,0,4.19531512384155,4.50140631223615,4.65097769353621,3.60098576285132,5.42141419043725,5.40043933529317,5.02442570312586,6.79575516744972,3.52550062829619,0,5.02442570312586,0,5.69269638057717,5.78729673853251,3.6492006105266,0,0,2.03308235495583,5.63400636639985,0,0,4.16246919652326,5.31335058844163,4.02305410260338,0,3.98598860750364,3.92854126857766,0,4.93973066405091,5.14702129418517,4.63908891557845,5.32823537398191,5.22862036826849,4.9300056859332,3.14323855192537,5.57282717486224,3.33230190978126,0,4.00464038689191,3.90887231987739,5.60374104334247,3.57626030692036,0,3.44584681919556,3.74104992206457,0,0,3.88893150427021,3.96709252805991,4.48821285000108,4.72032360305452,4.00464038689191,0,0,4.07692576428703,0,3.44584681919556,4.30472177948102,3.80629216323173,3.88893150427021,0,0,2.5216206751529,0,0
"207",9.21405357586534,4.69016899026199,8.74224221637756,4.55263173289337,3.23014691938852,5.21790163921056,4.96259929516257,5.80726852640756,5.59346439566885,0,6.50577295578714,0,6.03829708800793,0,4.78095502307776,0,4.33017746454063,5.29386249180377,5.78988456312565,4.5318677948304,5.63299763442631,6.15830743956195,0,0,6.58853618360097,7.04936284087997,6.51108710800389,0,7.13446419739411,0,9.70563934017562,0,4.33017746454063,5.13771791969369,5.708955486824,6.11708124268054,4.5318677948304,5.43474567747119,6.93540124778691,6.07464223120148,7.41802225969042,6.66203849069491,6.15830743956195,9.20588418967751,4.93122898610054,0,5.29386249180377,6.45152623930775,0,5.6427139670057,5.90739043686914,6.04563973596098,5.88300380511389,5.10996812606581,0,8.55169085627765,5.44588778380155,4.7087889931952,5.45694449738941,6.64763456275592,7.01610950214352,4.55263173289337,0,4.33017746454063,0,0,5.6133664237815,5.23084278409951,5.82444551065034,7.99922495406632,0,5.82444551065034,5.56308690918565,4.57310106184001,5.55281725803587,4.76324911073792,5.12390974169021,0,0,4.88285623411857,0,0,5.12390974169021,1.59075646449613,0,0,0,0,3.70845594828413,0,0,2.32887806436593,5.23084278409951,0,0,0,5.00841171241659,5.20484335921545,4.03789951952179,0,0,0,4.55263173289337,4.93122898610054,5.06731622367154,0,0,0,3.63247108559002,5.13771791969369,0,0,5.85819785520732,0,0,4.2306108664873,0,4.2046072238841,4.76324911073792,0,0,0,0,0,3.94671705511267,0,4.33017746454063,0,0,3.70845594828413,4.88285623411857,0,0,1.88078865366082,0,0,0,4.2306108664873,0
"208",6.87256260845145,4.80673759266875,6.44558798479425,0,4.42583374167067,0,4.07684181599412,4.83619204102572,0,3.92062249480819,7.06366787047713,2.81997073624164,6.50181047619063,4.66620234868133,4.47347409245942,4.98824688510396,3.86454979811874,4.64970753356492,6.20150542085874,4.2065523768313,6.60594477757348,5.62068035632541,4.1133895921831,0,5.97860789754185,6.43600080524286,4.48281625022862,3.18300595598305,7.23930073418724,4.92796649414919,5.21818302381792,5.50164734128318,0,3.69806736483993,5.28378901556046,5.63750846241464,2.87776832858825,5.10174015904637,7.06055165832306,5.78451350198546,6.65428931272523,6.7921819641666,4.21778583913296,4.76139674493486,3.74540982188111,0,4.12536929250884,6.10195539911183,4.51048514656273,5.25135891340707,5.76166924591774,5.74235209868306,6.77897088000316,5.27843437037728,5.09566382812818,6.14965914028095,4.74596084356367,4.94158148547315,5.79954449043519,6.62505559744228,6.15551270953766,5.32072517415169,0,0,0,0,5.40176006077611,5.03345002105166,6.39205217705434,5.7655018302546,5.07109930190294,5.35673924441454,5.0895617966868,5.18994149464834,5.37692213695391,4.73035800027775,4.76139674493486,4.68251070291889,0,4.66620234868133,0,4.28340949049412,0,4.86505715149544,4.44507907025911,0,6.28397874066005,6.10800534430323,0,0,4.39647564742106,7.42279969177802,0,0,5.06489225688567,0,5.8291446617506,5.21818302381792,4.84346264206838,4.73035800027775,0,7.03378851678747,4.16072285830833,4.7145845645493,4.65797851483726,4.51048514656273,3.58115763433884,0,0,5.70691574356801,4.82888461341728,0,4.93479005066392,4.73035800027775,5.22376558940093,4.2065523768313,0,3.43480513608843,4.90034487894883,4.33590402263285,0,4.69059626533963,0,4.2399937146424,3.61553820164197,0,3.37585448568365,0,0,4.29406231666799,3.92062249480819,0,0,2.29179984832374,3.89285854892423,5.75397339704011,1.00737262538755,3.52799997829012,3.39577355068663
"209",7.70814969505475,5.99477195957381,7.31500361134352,5.62786031905526,4.04554139181723,5.72869983334642,5.0642893888866,5.25669003491565,4.64990350565005,4.78092142324999,5.3609073059523,5.51943921783204,7.36807404503242,4.10677685497826,3.84450166770198,4.56517253127627,0,4.79339185305015,6.8993821607168,0,4.84222281236039,5.83506302078752,5.5710511669883,0,8.14029596291037,5.99477195957381,6.26033292222029,4.10677685497826,7.46089813988427,0,5.48909591433254,5.97301062024056,0,0,0,7.7535319079328,5.11484803659955,4.29394072384741,6.60614678494017,0,6.8284432701503,7.09591938609172,5.5997353474414,5.13458560474178,4.94640034785751,0,5.57827585553482,5.42642489401194,0,5.5710511669883,5.84707603862092,5.5710511669883,6.20072599659162,5.51191301243395,5.43440928010556,4.32862673262514,5.89993007252919,0,6.27374553586374,5.96200560832945,6.3389995828412,4.08665245221575,0,0,0,0,4.66355385860529,5.61386636830601,6.09891146102227,0,0,0,5.4659121430448,5.22941538603376,0,5.3010322997559,0,0,0,5.7416278739838,0,0,3.46255839714969,0,5.65544746950495,0,5.94533907031475,0,0,0,0,0,0,5.02252672056529,6.00016139032823,0,5.47368153572947,0,0,0,4.8301691451099,0,5.0642893888866,0,0,4.71689924775346,2.52938862028057,0,4.67707626560707,0,0,4.6081599713206,0,0,4.10677685497826,4.53578573174249,5.33555024612383,3.74529125126485,0,4.72993298931492,4.6361227624039,4.70374668112779,5.25669003491565,0,3.14989259891264,0,0,0,0,0,3.58237779706016,0,0,0,0,0,0,3.22546342390286,0
"210",7.54267045893989,8.2946001594953,6.93065173255749,7.93085350766043,5.35706674295547,7.55330003278349,4.46121630773424,5.01651832131313,4.70949669270678,0,5.28236415881431,6.99444509492535,7.72531191412608,0,4.46121630773424,4.18867279355096,0,0,7.22467180533788,5.42809092193941,0,5.66215011103247,6.34548742850921,0,7.47998223836822,6.52361060508527,6.04013055429477,4.98545835931181,6.71564677627777,0,0,6.00184042507265,4.0454335738929,0,0,7.00609856019753,4.2156898382227,0,6.545071613332,0,7.02912684166827,6.35766723028101,0,3.70761371307785,5.53920693703718,0,5.62232190647375,6.20424912144335,0,5.62232190647375,5.57093881294575,5.28236415881431,7.0405045918718,6.24416005910364,0,3.74518504136234,7.02531423049515,0,6.17012529277877,6.04013055429477,6.73445043562426,0,6.74839407244856,0,0,5.26952882321259,5.07670139552029,5.42809092193941,6.73911330451213,0,5.85491671707328,0,5.45100933212829,4.78359135865005,5.17633432513936,5.77543409816062,0,0,5.89725210729575,5.54986196616261,0,0,0,3.62940182933148,6.47970643186871,0,5.80241779087735,0,0,0,0,0,0,0,5.56043887910907,3.58864617316094,0,4.36795788722358,0,0,0,0,0,0,5.747936076222,5.23032309612115,0,0,0,0,0,2.9163745441598,3.78180270311642,4.13307179908797,0,0,0,0,0,6.21097809032086,0,0,4.2156898382227,0,0,0,0,0,0,0,0,0,0,1.7710239490687,0,0,2.84894976847712,0,0
"211",9.0897577528308,6.98818008596948,8.76704556376909,6.61224792947039,3.70189335596656,6.05584700225195,5.65845585708018,6.09478913453218,5.64802017795954,0,0,5.66881659189934,7.07643429812951,0,5.35908832576664,0,4.82285819195317,5.58376939010846,6.8124243979007,5.06173216906832,0,5.49339282970403,5.46988550227681,0,8.41673567150367,6.89858185430095,7.23474813061419,0,7.06471285169687,0,5.86178811741421,5.06173216906832,4.29025541441456,5.01376953599771,0,7.89913858163006,4.82285819195317,0,6.132707684929,0,6.28190345086595,6.67012193921918,6.82637495615705,5.48168704412078,5.42168958216922,0,0,0,0,5.8344371107357,7.04098033176946,1.82710133397478,6.17693236306468,4.6027741795901,5.62691959427496,5.65845585708018,7.06078444402493,0,7.28275701578155,5.8344371107357,5.81591072028951,3.854917158117,0,0,0,4.08894496714237,5.19673615881334,6.08708434636536,5.75885985111755,0,0,0,6.77933870698868,5.69945970529512,0,4.68674015677307,0,0,0,0,0,0,0,0,6.71080016651017,5.09284370798949,7.79184203674766,0,0,0,0,0,0,1.96800517552983,6.51797386549407,0,7.30617535151604,2.4244926796039,0,0,0,0,0,0,4.94723348296768,0,0,0,0,0,0,0,2.6079738637599,0,0,0,0,0,0,0,4.23554641016615,0,0,0,0,4.70698969325693,5.26661601460675,5.1081514480355,0,0,0,0,0,0,3.04974747174027,0,0,0,0
"212",8.85973063488045,4.27862722906439,8.39951445815464,3.68557326510654,4.75571644110185,3.86197921478267,4.23266776171146,5.50538791297316,4.52731699098335,4.14853788282843,6.52083247507422,0,6.46726449724584,4.58332455612394,4.60152077068825,3.99181461085776,4.57413965538448,4.88761573258019,6.16478532363427,4.16086099586564,6.1118162005334,5.18776952954237,4.64603187000354,0,7.14697303090948,5.65227310008518,6.28787356257892,0,5.9508186155316,4.8347563802894,5.45123243337236,6.83913573560764,0,0,5.07508629577263,6.87697546364816,4.52731699098335,5.1997634220422,6.59081506035115,6.41163055731773,6.67054555825368,5.78159115509899,5.78557569953605,5.01526256904602,4.69769350525703,0,5.10089859915877,5.39496452727533,3.71929326366213,3.87699600479117,5.34183486835294,4.3449326204511,6.39085604207139,5.46123129546824,6.32667493731556,5.9508186155316,4.86519844893655,5.93296647681397,5.77759557536015,6.18000142341789,6.23056768140177,4.50815397699878,5.24097380408626,0,4.53680388372272,4.54622879975528,5.18776952954237,5.06856040839235,5.9508186155316,5.53882127922815,0,5.71211386423318,4.87270964676094,0,0,5.18173498300493,5.12625718185826,3.4447915616796,4.65477163636734,4.77187465227464,0,5.47610084172261,2.97199207934724,0,4.61053353194659,0,6.12130613027853,0,4.78785389379639,5.02877275604475,3.9498211625163,5.94013386264569,7.08041720528996,0,5.107280154644,0,5.63912065336678,4.52731699098335,0,4.66345877635998,0,5.60344972809904,4.17307973905545,4.6892106820143,4.46904700271917,0,6.55857847988125,5.10089859915877,0,0,3.92113070708323,3.0535634639052,0,4.26727389290065,4.28989191694177,4.82704442572485,0,4.56489590421359,3.57940975491741,3.84680447177525,0,4.23266776171146,3.07976023330623,0,0,2.5529674652113,0,4.62839188033919,0,2.35267756828382,0,4.04596958218537,0,0,0,0,2.26406745884796,0,4.77988639611482
"213",7.65451496441921,6.6582114827518,7.30822909627814,0,0,0,5.53638331478792,6.27292836821298,4.75952639696699,0,5.52128748760406,0,6.08037341646402,0,0,0,0,0,5.7841448399512,0,0,6.05962530534673,0,4.23835858268435,6.79629829751604,6.49007089098767,5.70619151165362,0,5.98456293366605,0,7.04876983988939,5.97351367202205,0,5.29146547023304,0,6.46662081560325,6.46662081560325,5.16118666436461,6.35184611082874,5.5661092049891,6.3432876527887,5.95115799046947,5.5661092049891,6.41854522692686,5.32662488158876,0,0,0,0,0,6.14088532849096,0,6.08037341646402,4.59624378258443,5.7841448399512,6.42666990369543,6.86367754771407,5.01796492921544,5.70619151165362,0,5.66557622617897,0,6.63034187526778,0,0,5.08109422339427,6.17021536977194,5.77144162288619,5.52128748760406,6.02793269954598,4.5671385985689,0,5.49061353440967,4.5671385985689,0,4.04079927459702,0,0,6.2638871965483,5.36094778126152,0,0,0,0,0,0,0,0,0,0,0,0,6.2997168157972,0,0,0,6.08037341646402,0,0,0,2.8639767440985,0,0,0,0,5.73264673247037,0,0,4.47612492510489,0,3.81182839863691,0,0,0,0,4.04079927459702,0,4.73356393565155,5.53638331478792,0,0,0,3.34748764131798,4.47612492510489,4.20095189706294,0,0,0,0,0,0,0,0,2.41895254928223,5.85810115462799,0,0,0,0
"214",8.45256563306061,5.82523540334333,7.96454916189133,0,0,0,0,5.87523454231201,4.50513404051124,4.99314577706484,5.20905236637937,0,6.2173780386782,0,0,0,0,0,6.0595178564955,4.72362999536873,0,6.1780805663304,4.29028608228185,4.76967687294459,7.51978782775283,6.4377903980071,6.54317653844106,2.40176428527067,7.90905411399512,0,7.7049753759776,5.95046281666335,0,0,0,6.9752344222809,5.24209237590752,6.49373370593485,6.85579460026408,4.96703317307177,6.96866926074307,7.42225577642688,6.19505357837174,7.37587080069356,5.33690137675411,0,5.20905236637937,6.2556334127645,0,5.29553123893502,6.37463225787755,4.03774807930832,5.74298741796986,5.35714991849822,0,8.20416040182305,6.05332604935559,6.3596561021263,5.18659769030329,6.44253609404688,6.53431205212738,4.52316773791441,0,0,5.50058107052119,0,5.14061185151219,6.16090549067894,5.20905236637937,7.78749228483337,4.75449062898807,0,5.84687612652066,0,0,4.78470492563188,6.12001682512939,0,5.12888265429046,6.08402271594454,0,0,4.1809403444338,0,5.65576548539119,0,5.16378798771657,0,4.5409787941357,0,0,0,5.47301298611597,0,4.69209476661038,0,4.89960587594258,6.3596561021263,4.11112002151013,0,0,4.44963963956168,5.79586670065593,0,5.72751609216518,4.55857263958603,5.54538858752756,0,0,0,0,0,0,3.85047298892116,4.50513404051124,0,0,4.37216192735323,0,3.85047298892116,3.79217552640355,4.31119476900978,4.13477090183805,0,0,4.62687784432929,0,0,0,2.7468831798834,5.05643146648313,3.762118918772,0,0,4.95379746734528,0,0,0,4.24753706823393
