"sign.s.Control","sign.s.High","sign.s.Low","sign.index","sign.stat","sign.p.value"
1,0,0,1,0.255262187076689,0.3835
0,1,0,2,0.136322131322633,0.9884
0,1,0,2,0.239045721866879,1
1,1,0,4,0.152420948526049,0.6943
0,0,1,3,0.346004474562833,0.1262
0,1,1,6,0.212470294158966,0.5377
0,1,0,2,0.239045721866879,1
0,0,1,3,0.195242255458832,0.6303
1,0,0,1,0.108852581640941,0.8338
NA,NA,NA,NA,NA,NA
0,1,0,2,0.407541366486795,0.0607
1,0,1,5,0.241827507031563,0.3829
NA,NA,NA,NA,NA,NA
0,1,1,6,0.117082069244581,0.8156
1,0,1,5,0.42515860321809,0.0381
NA,NA,NA,NA,NA,NA
0,0,1,3,0.218609656660023,0.6673
NA,NA,NA,NA,NA,NA
1,0,0,1,0.138911514515046,0.743
1,1,0,4,0.232025926170516,0.4195
