"","ASV4","ASV6","ASV7","ASV9","ASV13","ASV23","ASV29","ASV32","ASV35","ASV41","ASV55","ASV57","ASV59","ASV75","ASV80","ASV87","ASV90","ASV94","ASV95","ASV96","ASV100","ASV104","ASV111","ASV117","ASV118","ASV122","ASV129","ASV136","ASV142","ASV147","ASV154","ASV157","ASV158","ASV161","ASV166","ASV167","ASV180","ASV188","ASV190","ASV191","ASV201","ASV211","ASV219","ASV227","ASV230","ASV231","ASV236","ASV237","ASV238","ASV245","ASV252","ASV258","ASV265","ASV271","ASV275","ASV297","ASV324","ASV328","ASV332","ASV348","ASV353","ASV381","ASV384","ASV390","ASV397","ASV400","ASV409","ASV410","ASV423","ASV429","ASV431","ASV432","ASV438","ASV450","ASV453","ASV461","ASV478","ASV511","ASV516","ASV534","ASV547","ASV553","ASV585","ASV591","ASV596","ASV597","ASV606","ASV613","ASV622","ASV630","ASV653","ASV665","ASV674","ASV682","ASV711","ASV723","ASV732","ASV745","ASV752","ASV774","ASV777","ASV790","ASV803","ASV816","ASV820","ASV827","ASV849","ASV852","ASV860","ASV914","ASV934","ASV936","ASV942","ASV953","ASV987","ASV997","ASV998","ASV999","ASV1032","ASV1063","ASV1066","ASV1074","ASV1076","ASV1077","ASV1081","ASV1093","ASV1104","ASV1119","ASV1121","ASV1126","ASV1131","ASV1133","ASV1148","ASV1169","ASV1180","ASV1191","ASV1193","ASV1211","ASV1221","ASV1224","ASV1226","ASV1234","ASV1251","ASV1264","ASV1265","ASV1270","ASV1272","ASV1287","ASV1293","ASV1301","ASV1325","ASV1338","ASV1346","ASV1352","ASV1360","ASV1400","ASV1411","ASV1419","ASV1428","ASV1439","ASV1464","ASV1490","ASV1509","ASV1532","ASV1538","ASV1546","ASV1548","ASV1568","ASV1584","ASV1592","ASV1596","ASV1649","ASV1666","ASV1685","ASV1688","ASV1713","ASV1727","ASV1735","ASV1741","ASV1752","ASV1757","ASV1758","ASV1766","ASV1767"
"T18-2-S",73,173,62,147,0,0,38,0,108,0,0,0,0,0,201,0,0,0,0,104,203,0,0,115,0,0,43,0,0,0,0,62,0,77,40,0,0,47,0,0,0,0,0,321,0,43,0,35,0,0,0,73,0,58,0,254,0,0,145,268,58,11,0,70,0,42,0,54,0,0,68,0,0,57,0,143,202,0,74,0,86,0,0,0,27,46,0,0,0,0,0,62,0,0,0,0,49,0,46,0,60,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,89,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,65,36,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"T20-1-S",0,52,0,0,0,105,123,0,0,0,84,57,109,0,585,0,0,158,0,68,497,50,0,127,81,0,122,202,0,154,70,0,79,69,95,0,102,0,171,47,0,152,0,87,41,15,0,84,0,67,84,423,155,96,70,0,0,0,81,13,0,106,0,0,0,108,61,107,31,0,95,0,314,0,67,116,0,78,64,100,0,0,0,75,99,0,0,65,0,102,83,67,109,0,100,0,51,0,0,98,35,0,68,84,81,50,0,42,0,0,82,13,0,87,0,0,0,0,0,0,0,0,0,32,38,51,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T20-2-S",86,252,0,167,0,136,205,0,60,0,85,51,170,0,426,30,0,0,0,0,323,60,0,0,116,0,0,135,180,55,89,0,0,0,316,16,0,0,129,47,0,109,0,0,78,0,120,114,0,0,0,106,122,0,195,0,0,0,122,267,139,137,0,156,0,0,0,25,63,0,122,0,102,0,96,0,212,121,140,58,0,0,0,74,0,0,84,78,0,0,58,0,163,96,123,0,98,0,0,24,0,55,90,0,84,0,0,0,40,83,0,0,0,0,110,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,107,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,69,0,0,0,0,13,0,53,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,68,0
"T23-1-S",160,104,0,69,39,0,116,28,0,0,0,0,116,0,180,0,0,33,0,96,170,51,0,489,58,0,0,0,0,169,0,0,0,0,61,0,355,0,0,54,0,0,0,84,0,0,0,0,121,0,0,172,0,0,0,95,85,0,91,0,0,0,0,0,125,0,0,171,0,0,0,0,0,177,0,162,0,34,0,0,0,61,0,0,0,0,0,102,0,95,0,0,0,147,0,123,0,0,0,0,0,89,0,277,20,100,110,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,206,0,0,0,0,0,0,0,0,0,0,93,0,0,0,50,90,0,0,0,0,0,0,67,0,0,0,0,0,0,0,201,0,0,0,0,0,0,64,0,0,99,0,154
"T23-2-S",81,163,59,115,0,0,104,0,21,0,0,0,84,0,1073,60,0,92,0,180,885,152,0,358,85,0,0,0,217,84,0,0,0,127,82,36,282,0,0,0,0,19,0,0,0,0,200,70,68,0,0,90,0,0,65,0,92,0,15,49,0,101,0,192,0,0,0,0,0,0,54,0,81,47,0,0,55,0,0,0,0,0,0,0,0,0,117,109,0,0,0,0,0,0,120,91,0,0,0,0,0,70,0,91,0,0,0,0,28,190,38,0,0,89,0,0,0,0,0,0,0,0,47,80,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,89,120,0,0,0,0,0,0,0,0,0,0,0,80,98,0,83,0,0,129,0,0,115,0,83,0,0,0,149,0,0,0,0,63,0,118,0,55,0,165,0,0,0,0,94
"T24-1-S",89,262,68,258,0,150,173,0,0,0,88,81,138,0,442,0,0,0,0,183,396,0,78,190,119,0,0,103,77,104,0,0,50,158,178,63,163,0,0,0,0,92,0,252,68,0,79,116,0,0,55,115,0,0,136,189,66,0,106,86,0,131,0,123,0,73,0,31,0,0,0,0,0,0,0,162,76,105,34,0,0,65,54,0,0,0,93,121,0,105,0,99,77,0,124,0,0,0,0,118,0,76,0,28,0,65,0,0,92,67,13,0,0,107,91,0,0,136,0,39,0,0,0,0,0,35,0,0,89,0,0,0,0,0,62,76,0,138,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,107,0,0,0,0,0,0
"T24-2-S",47,101,0,0,0,0,225,0,0,0,0,0,159,248,651,152,0,0,0,95,601,93,93,151,90,131,70,82,0,0,0,124,0,79,202,0,117,0,30,0,82,0,491,176,0,112,0,0,0,0,0,106,0,80,145,126,76,0,34,0,81,0,0,0,0,96,51,0,0,0,46,0,80,120,0,160,0,49,0,0,53,0,138,33,0,60,25,77,0,159,0,91,0,89,51,0,0,0,0,163,0,0,0,0,0,0,48,0,49,0,0,184,0,55,0,65,0,11,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,71,0,0,0,0,0,0,62,0,0,52,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,37
"T7-1-S",0,250,0,163,257,0,0,182,142,0,0,133,0,0,225,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T7-2-S",0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,161,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0,110,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T8-1-S",71,0,49,100,0,0,56,0,0,0,0,0,34,0,306,52,0,0,66,54,235,248,0,393,0,49,34,131,143,0,0,0,0,0,99,0,333,0,0,190,0,96,0,20,91,0,0,64,24,0,0,30,0,92,0,0,86,0,0,25,48,93,30,0,98,105,0,116,77,0,126,0,0,0,0,82,0,76,120,0,96,0,0,51,31,0,0,0,0,59,8,84,0,20,0,88,0,0,0,0,0,70,40,0,94,57,0,4,85,0,80,0,0,55,0,0,30,0,0,0,0,38,21,0,211,0,0,112,0,0,0,0,0,95,0,0,0,0,0,0,57,0,0,0,286,0,14,0,0,104,0,65,0,40,0,0,0,0,13,0,47,0,0,0,303,0,0,0,0,0,0,0,0,72,0,0,0,0,0,257,254,0,0,0
"T8-2-S",76,11,0,0,0,0,0,0,0,0,0,45,0,0,226,0,0,0,0,0,202,129,0,146,41,0,0,0,0,0,92,0,0,0,61,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,62,204,67,0,61,0,0,165,0,0,0,0,106,0,0,0,59,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,83,17,0,48,0,0,0,0,0,0,44,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,133,0,0,0,124,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
