"T10-1-S","T10-2-S","T11-1-S","T11-2-S","T12-1-S","T12-2-S","T14-1-S","T14-2-S","T15-1-S","T15-2-S","T16-1-S","T16-2-S","T18-1-S","T18-2-S","T20-1-S","T20-2-S","T23-1-S","T23-2-S","T24-1-S","T24-2-S","T7-1-S","T8-1-S","T8-2-S"
"ASV238",7.49833644961743,5.73207432727625,0,4.21368161503458,5.79460658910628,6.37025692511948,0,4.78176564844797,5.50848029014405,4.40612983121254,0,6.27623654199971,0,0,0,0,6.16860705987522,5.18146499413219,0,0,0,4.02853366083159,0
"ASV245",0,0,0,4.19035954686986,0,0,7.01294907902126,7.5448259594261,5.61456108870567,0,0,0,4.50927969956038,0,5.09377866262286,0,0,0,0,0,0,0,0
"ASV252",0,0,0,5.7134972095702,0,0,0,4.88959961642111,0,0,0,5.61151371840973,4.96778964312032,0,5.41443861516495,0,0,0,4.61288403736695,0,0,0,0
"ASV258",0,6.19308074881559,6.27980355773574,6.16016847632674,0,3.8699587702181,0,2.13099063910569,5.78947033124822,5.76376565350992,0,4.68362881899365,0,5.99527415214618,7.72072138138274,5.6735757431559,6.67133190276734,5.56509560029166,5.63724923232279,5.87934231570266,0,4.32318504680639,0
"ASV265",0,6.6151293736288,0,6.29200736602461,0,7.2258789970487,0,5.26152706835338,0,0,0,0,0,0,6.28397874066005,5.86699969695296,0,0,0,0,0,0,0
"ASV271",0,6.55126229562144,0,5.08856078753691,0,0,0,4.94063735938418,0,5.50603203149944,7.3001864433634,0,0,5.68334828210273,5.60284908392012,0,0,0,0,5.48607797712077,0,5.89813781242265,0
"ASV275",0,0,5.73084991490941,6.02168085626724,6.60638387213138,0,0,4.809489134133,6.2144249494342,5.69791531672555,0,4.88822976902574,5.61366889161664,0,5.16386615295249,6.53830023689174,0,5.11221784901425,5.87214969377765,6.32577285567004,0,0,0
"ASV297",0,0,0,5.74585306116921,0,0,6.69010466573651,7.12869807651451,4.79904999844005,0,0,8.47010754670041,7.69609295708465,7.78384847673241,0,0,5.83137117244516,0,6.34532594937197,6.11975717564124,0,0,0
"ASV324",0,6.63286957762004,6.35396284995076,6.43281333708415,6.71113122602853,0,6.2858688442083,0,6.78051879020948,5.51880215285828,0,0,0,0,0,0,5.6609602422536,5.60344972809904,4.85147189803877,5.41186799354231,0,5.79210018207964,0
"ASV328",0,0,0,0,0,0,0,0,3.76874006005853,0,0,0,8.77805431488096,0,0,0,0,0,0,0,0,0,0
"ASV332",0,0,0,0,0,0,6.17090924059974,7.72545948991232,5.58639484223313,0,0,0,5.98823653404482,6.97505923063635,5.35575636059439,5.87702137579111,5.75639664585669,3.11321061044799,5.5268359927663,4.28830878634019,6.75042785397277,0,0
"ASV348",0,0,0,3.26729374198554,6.47654880084519,6.85352729090036,5.97161225098856,7.09154289319456,5.65128057618356,6.51577946820215,0,5.77914577791837,6.68544820091025,7.8580291998502,2.88261187292003,6.99003355259425,0,4.70515040945785,5.23535690824317,0,0,4.07449349424735,0
"ASV353",0,5.91719202348159,0,4.44805085700331,0,0,0,5.42577522389259,0,3.66870594763941,0,0,4.78171559427647,5.68334828210273,0,6.05529126161832,0,0,0,5.50404899973669,0,4.98364108159409,0
"ASV381",0,5.02388797597567,5.3714935726919,4.64961374891988,5.35163840289292,7.0267824780139,0,4.8276798422294,6.77220752196716,6.63200376768631,5.38484535870591,4.08439218729037,6.67657466383219,3.36489813385292,5.74681478781844,6.03753020014698,0,5.73595314425705,5.82626645985252,0,0,5.91086085874117,0
"ASV384",0,0,7.44544620496887,5.58525757701142,6.29587239472813,0,0,0,0,0,0,0,5.06619110904988,0,0,0,0,0,0,0,0,4.32318504680639,0
"ASV390",8.59192637237594,5.93159762940656,5.41173423132761,6.02168085626724,0,0,0,5.91695504358549,5.60523330665367,6.45727722899663,7.09169638325402,6.17762966616735,5.40387990269104,5.94169595493947,0,6.22182109120813,0,6.64478824257162,5.72987558300418,0,0,0,0
"ASV397",0,0,0,0,6.86175669746817,0,0,4.809489134133,0,0,7.05676809087067,0,4.40569598565429,0,0,0,6.21414542599577,0,0,0,0,5.98492920762625,8.02503454312882
"ASV400",0,6.6932967512945,0,0,0,0,0,0,0,5.42694239447073,0,0,0,5.2262814927494,5.76947188569103,0,0,0,4.99109460033105,5.7346335146662,0,6.07811908172003,0
"ASV409",0,6.48443637639145,0,5.99500809851866,6.35248997638496,5.17741105316992,0,0,6.73420266276299,5.45379025073713,0,3.41123019630154,0,0,4.96228274494933,0,0,0,0,4.83431124868111,0,0,6.50494383890046
"ASV410",0,5.69877309824772,0,0,0,5.30715557182072,0,4.13299616156763,0,0,0,5.31670408782435,0,5.57020873403113,5.75818781417323,3.67787013086485,6.66314563387584,0,3.82795314147536,0,0,6.22798519748756,8.21144632735305
"ASV423",0,0,0,3.98882325552411,0,0,4.43191236213592,0,0,5.81643421596847,0,4.59650412260385,4.92347235251188,0,4.02676620513929,4.94011704147271,0,0,0,0,0,5.64755535130541,6.62650325660646
"ASV429",0,0,0,0,0,0,0,0,0,0,0,0,8.47317996849397,0,0,0,0,0,0,0,0,0,0
"ASV431",0,7.08993743087872,5.15150676490794,4.74873778896468,0,0,4.88520616852365,3.02079935045687,5.52835695442223,0,0,4.71705698364387,0,5.90483879547604,5.5901774431571,5.86699969695296,0,4.83976082148813,0,4.71594271538603,0,6.34510938924938,6.47288334218229
"ASV432",7.68683187906477,0,0,5.9609583675884,0,0,0,6.16245179750797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV438",0,0,5.82325535898926,5.72165445669889,4.92362959409103,0,0,0,5.56730713015345,5.64064663329883,0,4.08439218729037,0,0,7.29044386171496,5.6149014848017,0,5.41503749927884,0,5.48607797712077,0,0,0
"ASV450",6.00206073948033,5.10238718511851,0,4.64961374891988,6.84869510716438,6.37025692511948,6.43725055584172,3.60975143012729,0,2.4447848426729,0,2.87288808209666,5.26870678231419,5.63915137997445,0,0,6.71158064497882,4.65733668027473,0,6.04807352722093,0,0,7.91001880022012
"ASV453",0,0,0,0,0,0,6.392340231285,7.45844692697389,5.18446670796801,3.92042804786825,5.26755046154095,0,5.53730234101289,0,5.09377866262286,5.52852961206,0,0,0,0,0,0,0
"ASV461",0,5.0766924590071,0,5.831262480925,0,5.26519062716898,5.79308618544936,4.01094669100991,5.15919264562114,6.41691478651951,6.55436349904355,6.28183229426706,4.48914939988052,6.95716954712068,5.86724329064089,0,6.58730061647395,0,6.12046649243695,6.46072047907478,0,5.73600786184328,0
"ASV478",6.57950034898577,0,0,0,0,0,0,6.70299666354642,0,6.06304093538888,7.10884845289999,5.48138609727861,6.27360510136041,7.45465795588445,0,6.65937326946199,0,4.88197752286364,5.05614534968163,0,0,0,0
"ASV511",0,4.65861855275057,4.89183349338728,4.46758372386167,0,0,0,4.60320863204258,6.57608543315634,6.45727722899663,0,0,6.28532634145718,0,5.31012316009294,5.85690791528542,4.40494019737838,0,5.5153152926979,4.80561708401464,0,5.63227128856476,0
"ASV516",0,0,0,0,0,6.37025692511948,5.89319072099863,6.32494392298894,6.33782395888927,0,4.76028173667931,5.57551646570059,5.46699584594043,6.01270032175113,5.03888401947319,6.06409046332354,0,0,3.93559459511317,0,0,6.26809244260881,7.2732605120409
"ASV534",6.87920635866803,4.26249661226377,7.41607316705195,0,0,6.30961442405712,0,6.56884481799554,5.47814219784078,5.99155047580573,5.44010026587186,4.76579033942608,5.26870678231419,0,5.66458969898141,4.82058404898659,0,0,0,0,0,0,0
"ASV547",0,6.16896473222973,4.25926366539989,0,0,0,0,4.75349896014975,0,4.53743413063857,0,0,0,6.23684855375371,0,0,0,0,0,4.89004220435987,0,5.96065983831376,0
"ASV553",0,6.18107313019862,0,0,0,0,4.85242070453597,4.25898899215969,0,0,0,0,0,0,0,0,5.19988740468587,0,4.83302922878604,0,0,0,0
"ASV585",6.42917240248267,0,0,0,0,0,4.97931606197555,5.50138078603542,0,0,0,5.3910753262398,0,0,0,0,0,0,4.56898103329188,6.25324993902165,0,0,6.44009415233764
"ASV591",0,0,0,5.33177777886798,5.87410819279547,0,0,4.44723545015015,0,4.83161114249081,0,0,0,0,5.24694294245554,5.16943580302425,0,0,0,4.24622018183499,0,5.0541531377187,0
"ASV596",0,0,5.48899716647675,4.56146775697268,0,0,0,3.08269919625462,5.32746366038069,0,6.88819697477614,0,0,4.60025868781767,5.65245114503805,0,0,0,0,0,0,4.36076420476329,6.14690524969611
"ASV597",0,5.51965770777308,0,4.34621105347564,0,0,0,4.84564403970593,0,0,0,0,4.5871043902868,5.34109209942359,0,0,0,0,0,5.0697137507117,0,0,0
"ASV606",0,5.74844105308842,0,5.67200445139376,0,4.42164934723744,4.9486231832881,5.68719558880736,0,6.16404347840421,0,5.59362736184828,5.02483806801718,0,0,5.33853059946795,0,5.93955922588299,5.34354854557542,3.85630311739525,0,0,0
"ASV613",0,5.29296475050639,0,0,0,5.79398797052143,0,3.91211701467041,6.09954421489981,5.42694239447073,0,0,5.59495286862437,0,5.05741528836269,5.24876134305449,5.93019165794487,5.83598592745771,5.70979976814377,5.43078141388055,0,0,0
"ASV622",0,0,0,0,0,5.57101006079215,0,2.4456226781448,4.83141074916793,0,0,0,5.61366889161664,0,0,0,0,0,0,0,0,0,0
"ASV630",0,0,0,5.84626248651225,5.06586346250824,0,0,3.54525885926287,5.12043145860306,5.90664769720894,0,6.13498292746684,4.27070112604044,0,5.68856464339274,0,5.83137117244516,0,5.50370185253278,6.45148897175825,0,5.26703396135854,0
"ASV653",0,0,7.26500834899397,3.78594923764281,5.65151808371909,0,0,6.30560546510798,5.36110306453153,6.08896219039965,0,4.40467992379648,0,0,5.39999030515971,4.82058404898659,0,0,0,0,0,2.65136636353812,0
"ASV665",0,0,4.60994425308006,5.49295917243484,0,4.76057742033203,5.94075326769044,4.32450524109921,5.23372409908345,5.32883356361413,0,5.74714146991283,0,5.76787648416104,5.09377866262286,0,0,0,5.4319867215289,5.65644494994915,0,5.76432661510687,0
"ASV674",4.52869751337793,0,0,5.35293809456482,4.58861250538876,3.33350820882766,0,4.59260996226038,3.95650155711212,4.9867326935025,0,0,6.6986570041733,0,5.78066838311095,6.28339921797745,0,0,5.0719598507297,0,0,0,0
"ASV682",0,0,0,4.30337317880302,0,6.01266099920027,5.75811259098969,3.74988820739412,0,0,0,0,4.76506937652181,0,0,5.52852961206,6.44175716335217,0,0,5.62394312389325,0,3.77381581147789,0
"ASV711",0,4.21617669927514,0,4.79585756623566,0,0,0,3.91211701467041,0,0,0,0,6.02365595243828,0,5.66458969898141,5.8869739190272,0,5.97899250617011,5.73980969127083,4.83431124868111,0,0,0
"ASV723",0,5.10238718511851,0,0,0,0,0,4.01094669100991,4.3629528087155,0,0,4.73348502543124,0,0,0,0,6.19155591159784,5.57799393604439,0,0,0,5.83278304584929,0
"ASV732",0,0,0,4.30337317880302,0,6.1342106816271,0,5.86505720932816,6.06593960241882,0,0,5.261132010289,5.39308681102688,5.44743567744456,4.70456066392327,5.56618102193322,0,0,0,0,0,0,0
"ASV745",0,0,0,3.47457062280651,0,0,0,5.97930734736129,0,0,0,0,5.05253804326789,0,0,0,0,0,0,0,0,0,0
"ASV752",0,0,0,5.79306562410856,4.97261559416524,0,0,5.73134499890955,0,0,0,0,0,5.34109209942359,0,0,0,0,0,0,0,0,0
"ASV774",0,0,5.26568915041114,0,0,0,0,0,4.06934229075923,5.86724753449599,0,5.06738576198468,0,0,5.62786327831697,3.63126439070609,0,0,5.67915231486709,6.48806578296537,0,0,0
"ASV777",0,0,5.74666771042222,4.99743566163649,0,3.33350820882766,6.29809452488934,5.30761906442795,0,0,0,3.09256611873607,4.62449701695493,5.7262313631472,4.20355860480499,0,0,0,0,0,0,0,0
"ASV790",0,4.94087048124337,0,0,0,6.08681248492774,0,0,5.56730713015345,5.38570991315068,5.20512151874036,0,5.31518601057984,0,0,4.75688605611437,5.72528074519807,5.21488076999078,5.05614534968163,0,0,5.50379424504898,0
"ASV803",0,0,0,0,0,0,5.7403026341628,3.63062381630961,0,0,6.4505519814951,7.42444457427309,0,0,5.11162232250101,5.43665564214143,0,0,0,0,0,4.72009110314195,0
"ASV816",0,0,0,5.64652363100307,0,0,5.60906834104355,2.34817535979024,0,0,0,5.68936653054412,0,0,5.41443861516495,0,7.34919767520449,5.57799393604439,3.67067117903502,0,0,0,0
"ASV820",0,6.87570884233325,0,0,0,0,0,0,0,0,0,4.25340610879026,0,0,5.35575636059439,5.33853059946795,3.64777791383318,0,0,0,0,5.92347268139143,0
"ASV827",7.09430667926778,0,0,5.15029717470623,0,0,0,3.8776098018765,4.87863026644631,4.94948777147859,0,5.57551646570059,0,0,4.68085225992934,0,5.90264112260716,0,4.83302922878604,0,0,5.20640165631361,0
"ASV849",7.75161797278544,0,0,0,4.31236926646252,0,5.82723198308114,0,4.29496018777749,0,0,3.23782906594412,0,0,0,0,6.03541589371985,0,0,4.77634061182979,8.02790599656988,0,0
"ASV852",0,0,0,0,0,0,0,5.62094005935402,0,0,0,0,0,0,4.44787533438758,0,0,0,0,0,0,1.86445760427437,6.0632497468055
"ASV860",0,0,6.20162467995318,0,0,0,0,5.3011239672617,0,0,6.08500341599589,4.78167571287778,4.64283606368843,0,0,4.30117804105179,0,3.95007477466832,5.31725173650282,4.80561708401464,0,5.77828023176739,0
"ASV914",0,0,0,0,0,0,0,5.41979193289444,0,0,0,0,0,6.12912324120518,0,5.32395161325102,0,6.63247596192379,4.86968177844306,0,0,0,0
"ASV934",4.06805772094343,0,0,0,0,0,0,5.68719558880736,4.6437104096237,0,0,4.57842953088192,0,0,5.38539583312396,0,0,4.36161560032846,2.70056179938008,0,0,5.69245938508079,6.91600457474342
"ASV936",0,0,0,3.65577419912628,0,0,0,4.81861315845278,0,0,0,0,0,0,2.88261187292003,0,0,0,0,6.6582114827518,0,0,4.6410890922285
"ASV942",0,0,6.54698479601416,0,0,0,0,3.54525885926287,0,0,7.00273702229565,6.82463291348944,4.79817193213267,0,0,0,0,0,0,0,0,0,0
"ASV953",0,4.11882147836748,0,4.30337317880302,0,0,0,3.47774782715315,0,0,0,0,0,0,5.45693513530831,0,0,5.55208090660297,5.53826542217897,4.94370011973898,0,5.16451651920114,6.14690524969611
"ASV987",0,3.15113887992115,5.82325535898926,4.68341750109849,0,0,0,2.85332703603604,0,0,7.14255269540607,3.09256611873607,5.22068014414823,0,0,5.71885539498937,0,0,5.30392137249802,0,0,0,0
"ASV997",0,5.66468498946988,3.10622120158281,0,6.04416497101685,0,0,0,0,0,0,5.24975602451331,0,0,0,0,0,0,0,5.18559932182879,0,0,0
"ASV998",0,3.15113887992115,0,0,5.11032051563362,0,6.392340231285,2.9226657228867,4.78259328514738,0,6.60359609403599,2.00433893572434,0,0,0,0,0,0,0,0,0,4.32318504680639,0
"ASV999",0,0,5.12754436443566,0,0,0,0,4.80030703937245,0,0,0,0,0,0,0,0,0,0,5.87214969377765,2.8439386899806,0,0,0
"ASV1032",0,0,0,0,3.97039836169912,0,0,5.04538931206235,0,0,6.42338843093282,5.23828962302413,0,6.2806628849153,0,0,0,0,0,6.11975717564124,0,0,0
"ASV1063",0,0,0,0,5.84809141964358,0,0,4.78176564844797,5.18446670796801,0,0,0,0,0,0,0,0,0,4.1294190496678,0,0,0,0
"ASV1066",0,5.31510973150998,0,0,0,0,5.30424146781624,0,0,0,5.81928310496544,5.62037442087823,0,5.78825675019676,0,0,7.00507409131361,0,0,0,0,0,6.01952969442906
"ASV1074",0,0,0,0,0,0,5.44283338074599,3.14205208978173,0,0,0,7.1856516435761,0,0,0,0,0,0,0,0,0,4.66106849213975,0
